この中で1期生は誰？,1,月ノ美兎,文野環,夕陽リリ,ギルザレン3世
「こんばんX！」でおなじみのライバーは誰？,2,樋口楓,エクスアルビオ,アルスアルマル,イブラヒム
石油王の名前はどれ？,4,アブラハム,キムラハム,イブラハム,イブラヒム
鷹宮リオン・竜胆尊・ジョー力一で構成されるユニットは次の内どれ？,4,KKK,LLL,VVV,RRR
ジョー力一がリスナーの母が作った料理の展覧回を行った。その料理とは次の内どれ？,4,おにぎり,カレー,ラーメン,チャーハン
2021年9月に行われた「にじクイ」と「レベガチャ台パン」合同イベントの名前は何？,1,NIJISANJI SHOW DOWN,NIJISANJI COOL DOWN,NIJISANJI HOME TOWN,NIJISANJI KIRITU
毎月第1・第3火曜日に放送されれているクイズ番組名は？,2,ヤシロ＆ササキのレバガチャダイパン,にじクイ,B級バラエティ,月イチにじさんじ
毎週金曜に放送されれているゲーム番組名は？,2,にじクイ,ヤシロ＆ササキのレバガチャダイパン,B級バラエティ,月イチにじさんじ
毎月第2・第4火曜日に放送されれているバラエティ番組名は？,2,にじクイ,B級バラエティ,ヤシロ＆ササキのレバガチャダイパン,月イチにじさんじ
バーチャルライバーとは何？,1,媒体を問わず配信する人,YOUTUBEで配信する人,ニコニコ動画で配信する人,BiliBiliで配信する人
ライバーの配信予定が掲載されている公式の予定表の名前は何？,4,これから.link,いまから.link,いちから.link,いつから.link
現在ライバーへのプレゼントはどれが許可されている？,1,ファンレター,食べ物,アクセサリー,amazonの欲しい物リストからの購入
月ノ美兎は活動初期はどこで配信していた？,2,電子レンジの上,洗濯機の上,屋根の上,トイレの上
にじさんじの公式ストアの名前は何？,3,にじさんじストア,にじさんじショップ,にじさんじオフィシャルストア,にじさんじマート
叶と葛葉のユニット名は？,4,ルラノワール,クワノアール,ルノアール,クロノワール
赤羽葉子・笹木咲・本間ひまわり・魔界ノりりむ・椎名唯華のユニット名は？,2,げーむじょ,げまじょ,げむじょ,げらじょ
毎年行われるマリカ杯の主催者は誰？,3,剣持力也,伏見ガク,剣持刀也,社築
フミ・星川サラ・山神カルタのコラボ名は？,1,織姫星,彦星姫,星川星,限界織姫星
ここフレわんわんとは天宮こころと誰のコラボ名？,4,エクスアルビオ,アルスアルマル,魔界ノりりむ,フレン・E・ルスタリオ
月ノ美兎・樋口楓・静凛のコラボ名は？,3,JC組,JD組,JK組,JD組
鈴原るるの挨拶は何？,4,おはるる〜,ありがるる,がんばるる,こんるる〜
にじさんじ高校の監督は誰？,2,椎名桔平,椎名唯華,アンジュカトリーナ,樋口楓
にじさんじで最初にチャンネル登録者１００万人達成したライバーは誰？,1,葛葉,叶,月ノ美兎,本間ひまわり
「おまたせ　待った？」でおなじみのライバーは誰？,3,リゼ・ヘルエスタ,星川サラ,アンジュカトリーナ,アルスアルマル
社畜といえば誰？,4,葛葉,叶,不破湊,社築
にじさんじのピエロといえば？,1,ジョー力一,舞元啓介,加賀美ハヤト,イブラヒム
エデン組の紅一点は？,3,アクシアクローネ,ローレンイロアス,レインパターソン,オリバーエバンス
舞元啓介とジョー力一のラジオは？,1,舞元力一,力一舞元,ジョー啓介,啓介ジョー
にじさんじを運営するえにから株式会社のCEOの名前は？,1,田角陸,岩永太貴,月ノ美兎,加賀美ハヤト
社築が得意とする音ゲーは何？,4,CHUNITHM,jubeat,DJMAX,BeatMania
ニコニコ動画で投稿されている公式番組は？,2,にじさんじのハッピータイム,にじさんじのハッピーアワー,だいさんじラジオ,リゼるるListen
リゼヘルエスタと鈴原るるが出演していたラジオ番組は？,4,鈴原Listen,リゼListen,るるリゼListen,リゼるるListen
JK組でハワイに行った際一人だけゲームしたいからホテルの別室で予約したライバーがいる。それは誰？,2,月ノ美兎,静凛,樋口楓,星川サラ
月ノ美兎はある声優の声に似ている。それは誰？,1,田村ゆかり,上坂すみれ,伊藤美来,和氣あず未
樋口楓の愛称は？,3,かえーん,どろーん,でろーん,でらーん
樋口楓は腹が立つと何をする？,4,爆破,ふて寝,叫ぶ,台パン
JK組で関西弁を話すライバーは？,2,戌亥とこ,樋口楓,月ノ美兎,静凛
アルバム「AIM」をリリースしたライバーは？,1,樋口楓,戌亥とこ,月ノ美兎,静凛
アタマ・ハサマルとはどのゲームから発祥した言葉？,4,APEX,ARK,パワプロ,MineCraft
あみゃみゃとはどのライバーを指す言葉？,2,椎名結華,天宮こころ,北小路ヒスイ,アルスアルマル
委員長とは誰を指す言葉？,1,月ノ美兎,樋口楓,夕陽リリ,卯月コウ
「いっぞ！」は誰が発した言葉？,2,緑仙,卯月コウ,加賀美ハヤト,イブラヒム
神谷浩史の声真似が得意なライバーは誰？,4,ジョー力一,社築,三枝明那,卯月コウ
酒コアラといえば？,1,でびでび・でびる,黒井しば,奈羅花,えまおうがすと
Calbeeからポテトチップスを2434袋貰ったライバーは誰？,3,月ノ美兎,卯月コウ,文野環,アンジュカトリーナ
小学生Youtuberゆたぽんと親交の深いライバーは？,1,文野環,樋口楓,社築,鈴鹿詩子
「お尻見せなさいよ！」は誰の言葉？,3,鷹宮リオン,竜胆尊,鈴鹿詩子,アンジュカトリーナ
「イェア！」は誰の言葉？,2,伏見ガク,剣持刀也,グウェルオスガール,エクスアルビオ
未来人は誰？,3,鈴木勝,神田笑一,夕陽リリ,長尾景
長尾景とフミとコラボ名は？,1,フ景罪, 織姫星,にじさんじロケット団,ふみのとふみ
